m,TagName,
"2010-12-01 00:00:00","javascript","4950"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5346"
"2010-12-01 00:00:00","python","2472"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7976"
"2011-01-01 00:00:00","c++","3481"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6525"
"2011-01-01 00:00:00","javascript","5415"
"2011-01-01 00:00:00","perl","474"
"2011-01-01 00:00:00","php","6375"
"2011-01-01 00:00:00","python","2897"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1202"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1632"
"2011-02-01 00:00:00","c#","8201"
"2011-02-01 00:00:00","c++","3434"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6848"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6663"
"2011-02-01 00:00:00","python","3004"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2107"
"2011-03-01 00:00:00","c#","9964"
"2011-03-01 00:00:00","c++","4165"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8447"
"2011-03-01 00:00:00","javascript","6754"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8056"
"2011-03-01 00:00:00","python","3740"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9250"
"2011-04-01 00:00:00","c++","4157"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7878"
"2011-04-01 00:00:00","javascript","6868"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7572"
"2011-04-01 00:00:00","python","3323"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1822"
"2011-05-01 00:00:00","c#","9962"
"2011-05-01 00:00:00","c++","3861"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8522"
"2011-05-01 00:00:00","javascript","7285"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8035"
"2011-05-01 00:00:00","python","3509"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1562"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1758"
"2011-06-01 00:00:00","c#","9713"
"2011-06-01 00:00:00","c++","3798"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7859"
"2011-06-01 00:00:00","javascript","7653"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7984"
"2011-06-01 00:00:00","python","3458"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1554"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","c#","9554"
"2011-07-01 00:00:00","c++","3845"
"2011-07-01 00:00:00","delphi","427"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8118"
"2011-07-01 00:00:00","javascript","8073"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8592"
"2011-07-01 00:00:00","python","3645"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1824"
"2011-08-01 00:00:00","c#","9998"
"2011-08-01 00:00:00","c++","3941"
"2011-08-01 00:00:00","delphi","420"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8626"
"2011-08-01 00:00:00","javascript","8861"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8837"
"2011-08-01 00:00:00","python","3814"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1915"
"2011-09-01 00:00:00","c#","9232"
"2011-09-01 00:00:00","c++","3924"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8275"
"2011-09-01 00:00:00","javascript","8133"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7982"
"2011-09-01 00:00:00","python","3505"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2137"
"2011-10-01 00:00:00","c#","9148"
"2011-10-01 00:00:00","c++","4330"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8493"
"2011-10-01 00:00:00","javascript","7971"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7966"
"2011-10-01 00:00:00","python","3598"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1600"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","c#","9834"
"2011-11-01 00:00:00","c++","4447"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9561"
"2011-11-01 00:00:00","javascript","8596"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8596"
"2011-11-01 00:00:00","python","3851"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1731"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","1997"
"2011-12-01 00:00:00","c#","9239"
"2011-12-01 00:00:00","c++","4326"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9105"
"2011-12-01 00:00:00","javascript","8261"
"2011-12-01 00:00:00","perl","537"
"2011-12-01 00:00:00","php","8258"
"2011-12-01 00:00:00","python","3602"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1663"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2214"
"2012-01-01 00:00:00","c#","10305"
"2012-01-01 00:00:00","c++","4510"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10046"
"2012-01-01 00:00:00","javascript","9520"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9170"
"2012-01-01 00:00:00","python","4172"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2389"
"2012-02-01 00:00:00","c#","10656"
"2012-02-01 00:00:00","c++","5070"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10849"
"2012-02-01 00:00:00","javascript","9887"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9788"
"2012-02-01 00:00:00","python","4468"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2703"
"2012-03-01 00:00:00","c#","11455"
"2012-03-01 00:00:00","c++","5182"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12246"
"2012-03-01 00:00:00","javascript","10601"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10738"
"2012-03-01 00:00:00","python","4996"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2654"
"2012-04-01 00:00:00","c#","10971"
"2012-04-01 00:00:00","c++","5256"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11888"
"2012-04-01 00:00:00","javascript","10555"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10244"
"2012-04-01 00:00:00","python","4879"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1948"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","225"
"2012-05-01 00:00:00","c","2460"
"2012-05-01 00:00:00","c#","11403"
"2012-05-01 00:00:00","c++","4937"
"2012-05-01 00:00:00","delphi","474"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12038"
"2012-05-01 00:00:00","javascript","11387"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10798"
"2012-05-01 00:00:00","python","5047"
"2012-05-01 00:00:00","r","871"
"2012-05-01 00:00:00","ruby","1952"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2297"
"2012-06-01 00:00:00","c#","11228"
"2012-06-01 00:00:00","c++","4608"
"2012-06-01 00:00:00","delphi","415"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","10996"
"2012-06-01 00:00:00","javascript","11148"
"2012-06-01 00:00:00","perl","739"
"2012-06-01 00:00:00","php","10453"
"2012-06-01 00:00:00","python","5246"
"2012-06-01 00:00:00","r","966"
"2012-06-01 00:00:00","ruby","1881"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","200"
"2012-07-01 00:00:00","c","2359"
"2012-07-01 00:00:00","c#","12244"
"2012-07-01 00:00:00","c++","5243"
"2012-07-01 00:00:00","delphi","435"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12179"
"2012-07-01 00:00:00","javascript","12266"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11655"
"2012-07-01 00:00:00","python","5704"
"2012-07-01 00:00:00","r","1114"
"2012-07-01 00:00:00","ruby","2056"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2312"
"2012-08-01 00:00:00","c#","11908"
"2012-08-01 00:00:00","c++","5146"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12206"
"2012-08-01 00:00:00","javascript","12385"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","php","11820"
"2012-08-01 00:00:00","python","5849"
"2012-08-01 00:00:00","r","1084"
"2012-08-01 00:00:00","ruby","2054"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2523"
"2012-09-01 00:00:00","c#","11236"
"2012-09-01 00:00:00","c++","4890"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11573"
"2012-09-01 00:00:00","javascript","11137"
"2012-09-01 00:00:00","perl","661"
"2012-09-01 00:00:00","php","10930"
"2012-09-01 00:00:00","python","5239"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3146"
"2012-10-01 00:00:00","c#","12679"
"2012-10-01 00:00:00","c++","5893"
"2012-10-01 00:00:00","delphi","477"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13433"
"2012-10-01 00:00:00","javascript","12376"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11704"
"2012-10-01 00:00:00","python","6119"
"2012-10-01 00:00:00","r","1265"
